t1,t2,t3,t4
0.000905011,0.000455813,0.012320541,8.52E-05
0.001384135,0.000660929,0.018480812,0.00013991
0.001863259,0.000866045,0.024641083,0.000194658
0.002342383,0.001071161,0.030801354,0.000249406
0.002821506,0.001276277,0.036961624,0.000304153
0.00330063,0.001481393,0.043121895,0.000358901
0.003779754,0.001686509,0.049282166,0.000413648
0.004258877,0.001891625,0.055442437,0.000468396
0.004738001,0.00209674,0.061602707,0.000523143
0.005217125,0.002301856,0.067762978,0.000577891
0.005696249,0.002506972,0.073923249,0.000632639
0.006175372,0.002712088,0.08008352,0.000687386
0.006654496,0.002917204,0.08624379,0.000742134
0.00713362,0.00312232,0.092404061,0.000796881
0.007612744,0.003327436,0.098564332,0.000851629
0.008091867,0.003532552,0.104724603,0.084013864
0.008570991,0.003737668,0.110884873,0.176027437
0.009050115,0.003942784,0.117045144,0.276892347
0.02564348,0.0041479,0.123205415,0.386608595
0.044549797,0.004353015,0.333263256,0.505176179
0.065769066,0.004558131,0.567927771,0.632595102
0.089301285,0.112223661,0.827198961,0.768865361
0.115146456,0.234194064,1.111076825,0.913986958
0.143304579,0.370469339,1.419561363,1.067959893
0.173775653,0.521049487,1.752652576,1.230784164
0.206559678,0.685934507,2.110350463,1.402459773
0.241656654,0.8651244,2.492655024,1.58298672
0.279066582,1.058619165,2.899566259,1.772365004
0.318789462,1.266418803,3.331084169,1.970594625
0.360825292,1.488523314,3.787208753,2.177675583
0.405174074,1.724932697,4.267940011,2.393607879
0.451835808,1.975646953,4.773277944,2.618391513
0.500810492,2.240666082,5.303222551,2.852026483
0.552098129,2.519990083,5.857773832,3.094512791
0.605698716,2.813618956,6.436931787,3.345850437
0.661612255,3.121552703,7.040696417,3.606039419
0.719838745,3.443791321,7.669067721,3.87507974
0.780378187,3.780334813,8.322045699,4.152971397
0.84323058,4.131183177,8.999630352,4.439714392
0.908395924,4.496336414,9.701821679,4.735308724
0.97587422,4.875794523,10.42861968,5.039754394
1.045665467,5.269557505,11.18002436,5.353051401
1.117769665,5.677625359,11.9560357,5.675199745
1.192186815,6.099998086,12.75665373,6.006199427
1.268916916,6.536675686,13.58187843,6.346050446
1.347959969,6.987658158,14.4317098,6.694752803
1.429315973,7.452945503,15.30614785,7.052306497
1.512984928,7.93253772,16.20519257,7.418711528
1.598966834,8.42643481,17.12884396,7.793967896
1.687261692,8.934636773,18.07710203,8.178075602
1.777869502,9.457143608,19.04996678,8.571034646
1.870790263,9.993955316,20.0474382,8.972845026
1.966023975,10.5450719,21.06951629,9.383506744
2.063570638,11.11049335,22.11620105,9.8030198
2.163430253,11.69021968,23.1874925,10.23138419
2.265602819,12.28425087,24.28339061,10.66859992
2.370088337,12.89258694,25.4038954,11.11466699
2.476886806,13.51522789,26.54900686,11.5695854
2.585998226,14.1521737,27.718725,12.03335514
2.697422598,14.80342439,28.91304982,12.50597622
2.811159921,15.46897995,30.1319813,12.98744863
2.927210195,16.14884039,31.37551946,13.47777239
3.045573421,16.84300569,32.6436643,13.97694748
3.166249598,17.55147587,33.93641581,14.48497391
3.289238726,18.27425092,35.25377399,15.00185168
3.414540806,19.01133085,36.59573885,15.52758078
3.542155837,19.76271565,37.96231038,16.06216122
